image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
104,0.0507444441318511,0.0346444584429264,0.034647200256586,0.9977220892906188,0.0669688209891319,0.391926225891536,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
116,0.056533332914114,0.0438160859048366,0.0438190475106239,0.9984603524208068,0.0839536562561988,0.5382539124425789,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
118,0.062444444745779,0.0490787178277969,0.049082588404417,0.9983952045440674,0.0935653671622276,0.566234742899478,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
17,0.0637555569410324,0.0485105812549591,0.0485155098140239,0.997909426689148,0.0925323590636253,0.5750811574880771,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
20,0.0842000022530555,0.0719079375267028,0.0719079375267028,1.0,0.1341681182384491,0.6088071173344236,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
21,0.0599111095070838,0.0468422584235668,0.0468454249203205,0.9985590577125548,0.0894924849271774,0.4869247815876031,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
31,0.0565555542707443,0.0392405353486537,0.0392405353486537,1.0,0.07551771402359,0.5125989903209197,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
33,0.050566665828228,0.0366407744586467,0.0366407744586467,1.0,0.0706913620233535,0.5506076382176901,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
34,0.0473111122846603,0.0325958169996738,0.0325958169996738,1.0,0.0631337389349937,0.570985054621251,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
39,0.0498444437980651,0.0380444563925266,0.0380632951855659,0.9871570467948914,0.0733002424240112,0.4937266835261321,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
54,0.0487444438040256,0.0330148190259933,0.0330185480415821,0.996590495109558,0.0639193505048751,0.612948118917132,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
59,0.0681777745485305,0.0562126524746418,0.0562126524746418,1.0,0.1064419224858284,0.6277754149655803,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
64,0.06983333081007,0.0558281168341636,0.0558432340621948,0.9951748847961426,0.1057522818446159,0.6735102059323257,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
65,0.0665111094713211,0.052947212010622,0.0529693029820919,0.9921842217445374,0.1005695462226867,0.4035653551230236,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
74,0.0772000029683113,0.0644452720880508,0.0644547119736671,0.9977328181266784,0.1210870519280433,0.5078074160511081,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
8,0.0625444427132606,0.0474088303744792,0.0474088303744792,1.0,0.0905259326100349,0.5740698250965637,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
85,0.0810444429516792,0.0687834247946739,0.0687934979796409,0.997876524925232,0.1287135034799575,0.548795246435258,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
9,0.0720444470643997,0.0520210228860378,0.0520210228860378,1.0,0.0988973081111908,0.5417039599118709,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
90,0.0625777766108512,0.0498457103967666,0.0498462729156017,0.9997740983963012,0.0949581637978553,0.583198439868561,zero_shot_resnet50_imagenet,0,,,imagenet,resnet50_unet,Zero-Shot IN-UNet50,zero_shot,__zero_shot_raw__,False,imagenet
1,0.957455575466156,0.0108499098569154,0.3181818127632141,0.0111081721261143,0.0214669052511453,0.7505253800054914,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
101,0.9544444680213928,0.0007311723311431,0.1363636404275894,0.0007345739286392,0.0014612762024626,0.700122715983117,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
