run_name,num_samples,run,rep,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type,stage,experiment,is_mock,weights
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:6,6,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9411180406808852,0.6134013116359711,0.7900842100381851,0.7377311915159226,0.7599742859601974,0.9520345386715844,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:2_ns:8,8,2,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9361435145139694,0.5991864264011383,0.7507843762636185,0.7545583575963974,0.7488813132047654,0.9472233966535633,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:1,1,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9270311176776886,0.561061218380928,0.7234387993812561,0.7316130787134171,0.7175991952419281,0.9408571964816672,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:10,10,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9430354744195938,0.6236835807561875,0.7967204600572586,0.7465542048215866,0.7678614526987075,0.9553716191448484,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:12,12,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9392292201519012,0.6078026950359344,0.7752596318721772,0.7433654844760895,0.7555805593729019,0.951482559358236,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:14,14,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.9400413483381272,0.6182658344507217,0.7655723065137863,0.7669969290494919,0.7637256026268006,0.9536936136326564,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:16,16,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.9431865513324738,0.6310528129339218,0.7847370654344559,0.7669590890407563,0.773489049077034,0.9569563377606344,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:2,2,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.924286448955536,0.5303363606333733,0.7202648460865021,0.6752658903598785,0.6922667473554611,0.9274447496442536,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:4,4,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9364516496658324,0.5636851787567139,0.8189417898654938,0.6499118030071258,0.7201834470033646,0.9430079489543374,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:6,6,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.936149138212204,0.5839745461940765,0.776379120349884,0.7078533828258514,0.7368665724992752,0.9428417995072602,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:2_rep:3_ns:8,8,2,3,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9312951654195786,0.5751020163297653,0.7323997884988784,0.7356155067682266,0.7297436326742173,0.9407182715139106,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:1,1,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9300459504127504,0.5791332140564919,0.7288194268941879,0.7507044196128845,0.7323283702135086,0.9446731843386462,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
