image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
20,0.9682333469390868,0.6184948086738586,0.8070694804191589,0.725806474685669,0.7642839550971985,0.9877590902091054,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
21,0.9797000288963318,0.6538461446762085,0.7559693455696106,0.8287703990936279,0.7906976938247681,0.9916315419919915,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
31,0.976877748966217,0.5459306240081787,0.6917334794998169,0.7214533090591431,0.7062808871269226,0.9859471302653882,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
33,0.979188859462738,0.5950270295143127,0.6668282151222229,0.8467692136764526,0.7461027503013611,0.9915554014630904,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
34,0.9795666933059692,0.5709286332130432,0.6365764737129211,0.8470059037208557,0.72686767578125,0.9921791058295704,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
39,0.9665555357933044,0.3913043439388275,0.5602200627326965,0.5647985935211182,0.5625,0.975586696288532,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
54,0.9812444448471068,0.5526106357574463,0.7128205299377441,0.7108762264251709,0.7118470668792725,0.9895104354132188,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
59,0.9723666906356812,0.5941579341888428,0.7626727819442749,0.7289289236068726,0.7454192042350769,0.9853483305080268,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
64,0.9695555567741394,0.5567777156829834,0.7402150630950928,0.6919983625411987,0.7152950763702393,0.982252130432328,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
65,0.9731444716453552,0.5562695264816284,0.8095110654830933,0.6400507092475891,0.7148755192756653,0.9883097836298688,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_dca1_unet18_lr_e-2_ignore_class_weights,False,
